NomeProduto,Categoria,Preco
Pasta de Dente,Perfumaria,85.39
Soro Fisiológico,Remédios,7.01
Máscara de Cílios,Perfumaria,33.27
Suplemento de Vitamina D,Vitaminas,14.6
Colírio,Remédios,37.35
Pasta de Dente,Perfumaria,21.5
Lenços Umedecidos,Perfumaria,77.8
Protetor Labial,Perfumaria,51.05
Suplemento de Cálcio,Vitaminas,24.27
Fita Adesiva,Perfumaria,93.02
Gel Antisséptico,Perfumaria,74.3
Fita Adesiva,Perfumaria,51.96
Roupas de Compressão,Perfumaria,91.94
Antialérgico,Remédios,98.85
Antialérgico,Remédios,88.07
Antialérgico,Remédios,33.38
Pomada para Artrose,Remédios,66.33
Antifúngico,Remédios,49.3
Suplemento de Cálcio,Vitaminas,60.08
Roupas de Compressão,Perfumaria,56.07
Creme Anti-idade,Perfumaria,77.02
Escova de Cabelo,Perfumaria,34.13
Pasta de Dente,Perfumaria,75.33
Cotonetes,Perfumaria,79.55
Colírio,Remédios,15.15
Pomada Antisséptica,Perfumaria,45.94
Paracetamol 500mg,Remédios,17.56
Colírio,Remédios,68.29
Suplemento de Vitamina D,Vitaminas,74.72
Paracetamol 500mg,Remédios,66.65
Fraldas Descartáveis,Perfumaria,27.26
Lenços Umedecidos,Perfumaria,82.82
Suplemento de Ômega 3,Vitaminas,84.23
Pasta de Dente,Perfumaria,70.57
Pomada Antisséptica,Perfumaria,50.98
Colágeno em Pó,Vitaminas,68.95
Antifúngico,Remédios,97.87
Protetor Solar,Perfumaria,8.48
Antialérgico,Remédios,55.32
Termômetro de Infravermelho,Perfumaria,91.24
Máscara de Cílios,Perfumaria,90.53
Escova de Dente,Perfumaria,51.59
Protetor Labial,Perfumaria,94.27
Roupas de Compressão,Perfumaria,64.02
Pomada para Artrose,Remédios,99.02
Desodorante,Perfumaria,51.43
Termômetro de Infravermelho,Perfumaria,47.75
Antialérgico,Remédios,92.42
Suplemento de Magnésio,Vitaminas,58.58
Colírio,Remédios,49.97
Antifúngico,Remédios,51.02
Soro Fisiológico,Remédios,17.72
Antifúngico,Remédios,7.59
Ibuprofeno 200mg,Remédios,91.22
Pasta de Dente,Perfumaria,7.61
Termômetro Digital,Perfumaria,87.94
Creme Hidratante,Perfumaria,52.6
Compressa Fria,Perfumaria,7.53
Lenços Umedecidos,Perfumaria,5.91
Antiácido,Remédios,37.83
Compressa Fria,Perfumaria,36.73
Fita Adesiva,Perfumaria,26.76
Fraldas Descartáveis,Perfumaria,90.49
Vitamina C 1000mg,Vitaminas,61.5
Aspirina 500mg,Remédios,34.28
Paracetamol 500mg,Remédios,81.77
Escova de Dente,Perfumaria,8.97
Suplemento de Magnésio,Vitaminas,57.44
Protetor Solar,Perfumaria,39.56
Termômetro de Infravermelho,Perfumaria,88.44
Suplemento de Ômega 3,Vitaminas,11.49
Protetor Labial,Perfumaria,98.27
Roupas de Compressão,Perfumaria,76.98
Desodorante,Perfumaria,23.55
Pomada para Assaduras,Perfumaria,87.31
Pomada para Assaduras,Perfumaria,83.27
Termômetro de Infravermelho,Perfumaria,78.9
Termômetro de Infravermelho,Perfumaria,91.09
Antiácido,Remédios,36.43
Roupas de Compressão,Perfumaria,42.81
Creme Anti-idade,Perfumaria,55.61
Vitamina C 1000mg,Vitaminas,65.92
Creme Hidratante,Perfumaria,93.22
Cotonetes,Perfumaria,49.37
Aspirina 500mg,Remédios,42.68
Aspirina 500mg,Remédios,5.34
Escova de Dente,Perfumaria,50.64
Lenços Umedecidos,Perfumaria,47.21
Pomada Antisséptica,Perfumaria,21.48
Gaze Esterilizada,Perfumaria,48.24
Antialérgico,Remédios,59.82
Termômetro Digital,Perfumaria,86.39
Gel Antisséptico,Perfumaria,80.51
Creme para as Mãos,Perfumaria,98.58
Gel Antisséptico,Perfumaria,19.16
Inalador,Remédios,91.35
Protetor Labial,Perfumaria,59.93
Creme para as Mãos,Perfumaria,55.04
Pomada para Assaduras,Perfumaria,91.32
Colírio,Remédios,55.15
Creme Anti-idade,Perfumaria,40.81
Suplemento de Ômega 3,Vitaminas,73.29
Máscara de Cílios,Perfumaria,66.5
Fraldas Descartáveis,Perfumaria,12.4
Pasta de Dente,Perfumaria,23.74
Colírio,Remédios,38.05
Termômetro de Infravermelho,Perfumaria,16.77
Antialérgico,Remédios,75.33
Antifúngico,Remédios,32.85
Termômetro Digital,Perfumaria,78.43
Fita Adesiva,Perfumaria,5.72
Creme Anti-idade,Perfumaria,7.1
Creme para as Mãos,Perfumaria,93.68
Gel Antisséptico,Perfumaria,15.04
Pasta de Dente,Perfumaria,89.22
Aspirina 500mg,Remédios,53.71
Xarope para Tosse,Remédios,62.5
Fraldas Descartáveis,Perfumaria,52.35
Protetor Solar,Perfumaria,90.62
Creme para as Mãos,Perfumaria,41.19
Colírio,Remédios,65.49
Escova de Dente,Perfumaria,42.53
Termômetro Digital,Perfumaria,43.19
Vitamina C 1000mg,Vitaminas,60.7
Lentes de Contato,Perfumaria,61.42
Gaze Esterilizada,Perfumaria,97.43
Paracetamol 500mg,Remédios,7.03
Fita Adesiva,Perfumaria,60.36
Creme para as Mãos,Perfumaria,24.28
Pomada para Artrose,Remédios,89.8
Inalador,Remédios,60.94
Antialérgico,Remédios,76.12
Suplemento de Cálcio,Vitaminas,97.66
Anti-inflamatório,Remédios,11.89
Soro Fisiológico,Remédios,78.5
Suplemento de Magnésio,Vitaminas,38.22
Gel Antisséptico,Perfumaria,45.5
Colírio,Remédios,72.49
Pomada Antisséptica,Perfumaria,52.79
Suplemento de Ômega 3,Vitaminas,57.42
Ibuprofeno 200mg,Remédios,56.56
Gaze Esterilizada,Perfumaria,5.63
Termômetro de Infravermelho,Perfumaria,74.56
Desodorante,Perfumaria,15.93
Band-aid,Perfumaria,30.67
Antiácido,Remédios,42.25
Gel Antisséptico,Perfumaria,68.63
Paracetamol 500mg,Remédios,72.87
Aspirina 500mg,Remédios,73.42
Protetor Solar,Perfumaria,11.32
Fraldas Descartáveis,Perfumaria,77.88
Ibuprofeno 200mg,Remédios,36.94
Paracetamol 500mg,Remédios,9.23
Colírio,Remédios,32.64
Lentes de Contato,Perfumaria,96.96
Suplemento de Cálcio,Vitaminas,91.12
Antialérgico,Remédios,59.42
Creme Hidratante,Perfumaria,95.02
Suplemento de Vitamina D,Vitaminas,79.08
Creme Anti-idade,Perfumaria,45.45
Pasta de Dente,Perfumaria,67.57
Compressa Fria,Perfumaria,17.91
Termômetro Digital,Perfumaria,53.34
Xarope para Tosse,Remédios,92.64
Pomada Antisséptica,Perfumaria,75.55
Pomada para Artrose,Remédios,48.13
Antifúngico,Remédios,18.33
Colágeno em Pó,Vitaminas,46.08
Vitamina C 1000mg,Vitaminas,7.62
Pomada Antisséptica,Perfumaria,51.34
Colírio,Remédios,7.46
Pomada para Assaduras,Perfumaria,15.81
Aspirina 500mg,Remédios,22.44
Desodorante,Perfumaria,45.68
Lentes de Contato,Perfumaria,13.8
Antibiótico,Remédios,16.57
Paracetamol 500mg,Remédios,49.9
Antifúngico,Remédios,80.3
Termômetro Digital,Perfumaria,56.99
Xarope para Tosse,Remédios,24.85
Cotonetes,Perfumaria,57.58
Vitamina C 1000mg,Vitaminas,41.01
Anti-inflamatório,Remédios,49.28
Inalador,Remédios,33.17
Lentes de Contato,Perfumaria,13.51
Paracetamol 500mg,Remédios,43.41
Vitamina C 1000mg,Vitaminas,52.3
Protetor Solar,Perfumaria,14.06
Fita Adesiva,Perfumaria,40.82
Máscara de Cílios,Perfumaria,12.91
Pomada Antisséptica,Perfumaria,48.53
Suplemento de Cálcio,Vitaminas,53.61
Gaze Esterilizada,Perfumaria,90.68
Gaze Esterilizada,Perfumaria,63.32
Fraldas Descartáveis,Perfumaria,54.14
Suplemento de Vitamina D,Vitaminas,12.27
Escova de Dente,Perfumaria,32.11
Soro Fisiológico,Remédios,68.34
Antiácido,Remédios,12.32
Desodorante,Perfumaria,35.33
Creme para as Mãos,Perfumaria,93.57
Antifúngico,Remédios,99.4
Suplemento de Vitamina D,Vitaminas,46.15
Inalador,Remédios,28.42
Gaze Esterilizada,Perfumaria,15.66
Desodorante,Perfumaria,10.48
Inalador,Remédios,25.64
Roupas de Compressão,Perfumaria,32.64
Escova de Dente,Perfumaria,35.38
Antifúngico,Remédios,14.64
Suplemento de Ômega 3,Vitaminas,60.66
Escova de Cabelo,Perfumaria,65.41
Creme Anti-idade,Perfumaria,68.83
Xarope para Tosse,Remédios,83.24
Roupas de Compressão,Perfumaria,49.25
Máscara de Cílios,Perfumaria,44.08
Antiácido,Remédios,79.59
Soro Fisiológico,Remédios,61.84
Colírio,Remédios,73.32
Suplemento de Ômega 3,Vitaminas,32.32
Fraldas Descartáveis,Perfumaria,26.92
Suplemento de Magnésio,Vitaminas,69.6
Creme Hidratante,Perfumaria,23.92
Suplemento de Vitamina D,Vitaminas,95.04
Termômetro de Infravermelho,Perfumaria,53.3
Creme para as Mãos,Perfumaria,7.67
Pomada Antisséptica,Perfumaria,51.89
Anti-inflamatório,Remédios,81.08
Soro Fisiológico,Remédios,88.7
Soro Fisiológico,Remédios,56.12
Antifúngico,Remédios,45.75
Cotonetes,Perfumaria,94.06
Termômetro de Infravermelho,Perfumaria,64.05
Anti-inflamatório,Remédios,49.25
Protetor Labial,Perfumaria,67.02
Ibuprofeno 200mg,Remédios,30.61
Paracetamol 500mg,Remédios,43.04
Creme para as Mãos,Perfumaria,27.28
Antiácido,Remédios,59.97
Escova de Dente,Perfumaria,76.47
Suplemento de Ômega 3,Vitaminas,65.99
Gaze Esterilizada,Perfumaria,77.17
Vitamina C 1000mg,Vitaminas,28.45
Pomada Antisséptica,Perfumaria,91.47
Antibiótico,Remédios,21.25
Desodorante,Perfumaria,45.48
Termômetro de Infravermelho,Perfumaria,5.21
Fita Adesiva,Perfumaria,87.09
Desodorante,Perfumaria,41.88
Fraldas Descartáveis,Perfumaria,9.4
Colágeno em Pó,Vitaminas,77.34
Termômetro de Infravermelho,Perfumaria,15.88
Máscara de Cílios,Perfumaria,96.11
Antifúngico,Remédios,45.24
Suplemento de Magnésio,Vitaminas,97.16
Pomada Antisséptica,Perfumaria,73.38
Suplemento de Cálcio,Vitaminas,57.23
Protetor Solar,Perfumaria,26.0
Roupas de Compressão,Perfumaria,99.36
Protetor Solar,Perfumaria,45.51
Aspirina 500mg,Remédios,23.75
Pomada para Assaduras,Perfumaria,7.61
Desodorante,Perfumaria,73.88
Escova de Dente,Perfumaria,10.93
Soro Fisiológico,Remédios,80.69
Roupas de Compressão,Perfumaria,93.73
Pomada para Assaduras,Perfumaria,14.76
Antialérgico,Remédios,66.45
Creme Hidratante,Perfumaria,10.44
Antifúngico,Remédios,52.79
Band-aid,Perfumaria,89.44
Anti-inflamatório,Remédios,46.06
Escova de Dente,Perfumaria,92.54
Antiácido,Remédios,92.87
Desodorante,Perfumaria,74.25
Suplemento de Ômega 3,Vitaminas,38.18
Roupas de Compressão,Perfumaria,17.82
Aspirina 500mg,Remédios,66.64
Roupas de Compressão,Perfumaria,75.54
Suplemento de Vitamina D,Vitaminas,41.46
Antifúngico,Remédios,5.62
Pomada Antisséptica,Perfumaria,38.83
Antifúngico,Remédios,99.92
Inalador,Remédios,93.55
Protetor Solar,Perfumaria,31.6
Pomada para Artrose,Remédios,37.32
Suplemento de Vitamina D,Vitaminas,98.89
Lentes de Contato,Perfumaria,14.48
Antibiótico,Remédios,92.76
Lenços Umedecidos,Perfumaria,96.78
Creme para as Mãos,Perfumaria,56.05
Desodorante,Perfumaria,46.72
Creme para as Mãos,Perfumaria,29.5
Máscara de Cílios,Perfumaria,70.53
Antialérgico,Remédios,46.42
Antiácido,Remédios,13.89
Escova de Cabelo,Perfumaria,6.75
Cotonetes,Perfumaria,14.57
Protetor Labial,Perfumaria,13.86
Fraldas Descartáveis,Perfumaria,42.65
Suplemento de Ômega 3,Vitaminas,8.23
Band-aid,Perfumaria,32.82
Colágeno em Pó,Vitaminas,90.15
Termômetro de Infravermelho,Perfumaria,82.54
Pomada para Assaduras,Perfumaria,39.95
Termômetro Digital,Perfumaria,40.44
Protetor Labial,Perfumaria,7.24
Ibuprofeno 200mg,Remédios,81.61
Pomada Antisséptica,Perfumaria,20.17
Xarope para Tosse,Remédios,61.27
Antiácido,Remédios,57.99
Antibiótico,Remédios,71.22
Antifúngico,Remédios,94.03
Desodorante,Perfumaria,81.46
Pasta de Dente,Perfumaria,94.86
Lenços Umedecidos,Perfumaria,45.33
Pomada para Assaduras,Perfumaria,20.19
Pomada para Assaduras,Perfumaria,93.5
Pasta de Dente,Perfumaria,14.32
Protetor Solar,Perfumaria,21.2
Soro Fisiológico,Remédios,69.88
Creme Anti-idade,Perfumaria,89.97
Suplemento de Cálcio,Vitaminas,61.36
Compressa Fria,Perfumaria,12.12
Ibuprofeno 200mg,Remédios,74.3
Protetor Solar,Perfumaria,48.9
Termômetro de Infravermelho,Perfumaria,76.33
Máscara de Cílios,Perfumaria,71.03
Colírio,Remédios,59.24
Suplemento de Ômega 3,Vitaminas,64.6
Pomada Antisséptica,Perfumaria,86.21
Termômetro de Infravermelho,Perfumaria,39.71
Desodorante,Perfumaria,23.34
Pomada para Assaduras,Perfumaria,40.58
Lentes de Contato,Perfumaria,59.34
Antibiótico,Remédios,47.74
Anti-inflamatório,Remédios,21.7
Cotonetes,Perfumaria,23.21
Suplemento de Vitamina D,Vitaminas,39.59
Soro Fisiológico,Remédios,54.95
Pomada para Assaduras,Perfumaria,10.65
Pasta de Dente,Perfumaria,86.31
Pomada Antisséptica,Perfumaria,73.0
Escova de Dente,Perfumaria,29.57
Inalador,Remédios,28.06
Antialérgico,Remédios,16.47
Ibuprofeno 200mg,Remédios,13.23
Pomada para Artrose,Remédios,51.2
Termômetro Digital,Perfumaria,69.26
Compressa Fria,Perfumaria,58.49
Suplemento de Magnésio,Vitaminas,8.55
Suplemento de Vitamina D,Vitaminas,6.0
Antifúngico,Remédios,13.2
Vitamina C 1000mg,Vitaminas,64.65
Lenços Umedecidos,Perfumaria,59.75
Antibiótico,Remédios,54.51
Suplemento de Ômega 3,Vitaminas,67.37
Protetor Labial,Perfumaria,76.95
Suplemento de Cálcio,Vitaminas,66.25
Lenços Umedecidos,Perfumaria,89.68
Band-aid,Perfumaria,52.81
Paracetamol 500mg,Remédios,15.48
Inalador,Remédios,85.61
Antiácido,Remédios,62.67
Inalador,Remédios,19.69
Escova de Cabelo,Perfumaria,12.76
Lenços Umedecidos,Perfumaria,79.98
Protetor Labial,Perfumaria,41.61
Antialérgico,Remédios,66.43
Antiácido,Remédios,66.04
Ibuprofeno 200mg,Remédios,59.78
Gel Antisséptico,Perfumaria,74.04
Pasta de Dente,Perfumaria,62.52
Suplemento de Vitamina D,Vitaminas,15.88
Pasta de Dente,Perfumaria,88.25
Fraldas Descartáveis,Perfumaria,5.1
Fraldas Descartáveis,Perfumaria,43.1
Xarope para Tosse,Remédios,78.85
Escova de Cabelo,Perfumaria,62.39
Suplemento de Magnésio,Vitaminas,95.2
Protetor Labial,Perfumaria,52.78
Colírio,Remédios,61.37
Desodorante,Perfumaria,96.36
Antiácido,Remédios,90.98
Gaze Esterilizada,Perfumaria,65.42
Máscara de Cílios,Perfumaria,75.37
Compressa Fria,Perfumaria,51.67
Desodorante,Perfumaria,5.41
Suplemento de Cálcio,Vitaminas,46.64
Soro Fisiológico,Remédios,95.49
Gel Antisséptico,Perfumaria,18.37
Lentes de Contato,Perfumaria,93.29
Lentes de Contato,Perfumaria,28.15
Xarope para Tosse,Remédios,7.77
Vitamina C 1000mg,Vitaminas,31.98
Antiácido,Remédios,16.2
Inalador,Remédios,45.77
Desodorante,Perfumaria,40.74
Pasta de Dente,Perfumaria,94.97
Anti-inflamatório,Remédios,36.24
Pomada para Assaduras,Perfumaria,36.09
Vitamina C 1000mg,Vitaminas,14.28
Paracetamol 500mg,Remédios,77.99
Ibuprofeno 200mg,Remédios,12.57
Protetor Solar,Perfumaria,38.36
Colágeno em Pó,Vitaminas,16.48
Máscara de Cílios,Perfumaria,62.24
Roupas de Compressão,Perfumaria,39.41
Termômetro de Infravermelho,Perfumaria,92.9
Termômetro Digital,Perfumaria,80.97
Pomada para Assaduras,Perfumaria,82.79
Pomada Antisséptica,Perfumaria,87.96
Paracetamol 500mg,Remédios,98.3
Pomada para Assaduras,Perfumaria,28.12
Pasta de Dente,Perfumaria,81.94
Colágeno em Pó,Vitaminas,27.23
Escova de Cabelo,Perfumaria,87.83
Vitamina C 1000mg,Vitaminas,71.76
Suplemento de Cálcio,Vitaminas,44.84
Escova de Cabelo,Perfumaria,73.95
Creme Hidratante,Perfumaria,75.89
Fraldas Descartáveis,Perfumaria,75.79
Máscara de Cílios,Perfumaria,80.51
Pomada para Artrose,Remédios,10.01
Inalador,Remédios,77.56
Suplemento de Vitamina D,Vitaminas,96.55
Pasta de Dente,Perfumaria,45.34
Antialérgico,Remédios,91.96
Antibiótico,Remédios,70.53
Antibiótico,Remédios,94.86
Escova de Cabelo,Perfumaria,20.99
Suplemento de Vitamina D,Vitaminas,40.04
Máscara de Cílios,Perfumaria,56.42
Anti-inflamatório,Remédios,20.23
Máscara de Cílios,Perfumaria,15.99
Creme Anti-idade,Perfumaria,10.12
Lenços Umedecidos,Perfumaria,88.39
Antibiótico,Remédios,55.01
Suplemento de Magnésio,Vitaminas,81.87
Protetor Labial,Perfumaria,62.64
Soro Fisiológico,Remédios,75.7
Escova de Dente,Perfumaria,69.06
Lentes de Contato,Perfumaria,5.49
Colírio,Remédios,91.7
Aspirina 500mg,Remédios,74.33
Aspirina 500mg,Remédios,76.14
Antibiótico,Remédios,75.96
Gel Antisséptico,Perfumaria,5.42
Colírio,Remédios,93.2
Pasta de Dente,Perfumaria,54.87
Roupas de Compressão,Perfumaria,52.4
Pasta de Dente,Perfumaria,7.69
Creme Hidratante,Perfumaria,60.79
Antifúngico,Remédios,28.34
Fraldas Descartáveis,Perfumaria,31.44
Paracetamol 500mg,Remédios,79.26
Vitamina C 1000mg,Vitaminas,99.17
Soro Fisiológico,Remédios,22.66
Protetor Labial,Perfumaria,32.15
Creme para as Mãos,Perfumaria,93.46
Máscara de Cílios,Perfumaria,76.23
Lentes de Contato,Perfumaria,96.24
Vitamina C 1000mg,Vitaminas,6.05
Vitamina C 1000mg,Vitaminas,94.09
Antiácido,Remédios,72.55
Band-aid,Perfumaria,26.7
Ibuprofeno 200mg,Remédios,46.47
Soro Fisiológico,Remédios,89.01
Cotonetes,Perfumaria,17.72
Termômetro de Infravermelho,Perfumaria,70.48
Roupas de Compressão,Perfumaria,68.41
Cotonetes,Perfumaria,90.1
Suplemento de Magnésio,Vitaminas,66.31
Creme para as Mãos,Perfumaria,82.37
Desodorante,Perfumaria,76.67
Protetor Labial,Perfumaria,92.99
Pasta de Dente,Perfumaria,51.54
Protetor Labial,Perfumaria,87.24
Antialérgico,Remédios,14.48
Soro Fisiológico,Remédios,39.63
Fraldas Descartáveis,Perfumaria,37.22
Escova de Dente,Perfumaria,12.05
Suplemento de Ômega 3,Vitaminas,92.1
Suplemento de Ômega 3,Vitaminas,94.43
Antialérgico,Remédios,97.77
Creme Anti-idade,Perfumaria,65.24
Pasta de Dente,Perfumaria,7.13
Creme para as Mãos,Perfumaria,56.77
Lentes de Contato,Perfumaria,40.31
Anti-inflamatório,Remédios,27.72
Paracetamol 500mg,Remédios,49.29
Lentes de Contato,Perfumaria,7.21
Paracetamol 500mg,Remédios,78.07
Protetor Labial,Perfumaria,87.45
Suplemento de Magnésio,Vitaminas,36.1
Fraldas Descartáveis,Perfumaria,40.51
Aspirina 500mg,Remédios,9.65
Máscara de Cílios,Perfumaria,36.38
Suplemento de Cálcio,Vitaminas,47.67
Ibuprofeno 200mg,Remédios,59.47
Paracetamol 500mg,Remédios,6.28
Protetor Solar,Perfumaria,72.05
Antibiótico,Remédios,91.45
Anti-inflamatório,Remédios,93.74
Suplemento de Vitamina D,Vitaminas,9.88
Escova de Dente,Perfumaria,73.52
Ibuprofeno 200mg,Remédios,93.49
Protetor Labial,Perfumaria,28.6
Escova de Cabelo,Perfumaria,86.36
Creme para as Mãos,Perfumaria,39.38
Pomada para Assaduras,Perfumaria,85.03
Cotonetes,Perfumaria,43.97
Termômetro Digital,Perfumaria,98.17
Band-aid,Perfumaria,9.98
Termômetro de Infravermelho,Perfumaria,77.55
Creme Anti-idade,Perfumaria,57.47
Suplemento de Vitamina D,Vitaminas,52.99
Colírio,Remédios,28.36
Aspirina 500mg,Remédios,82.7
Pomada para Artrose,Remédios,71.88
Roupas de Compressão,Perfumaria,17.65
Creme Anti-idade,Perfumaria,62.67
Antibiótico,Remédios,33.14
Antibiótico,Remédios,60.7
Roupas de Compressão,Perfumaria,16.16
Inalador,Remédios,89.81
Colágeno em Pó,Vitaminas,61.56
Lentes de Contato,Perfumaria,73.53
Compressa Fria,Perfumaria,54.13
Escova de Dente,Perfumaria,14.85
Creme para as Mãos,Perfumaria,97.55
Suplemento de Vitamina D,Vitaminas,65.15
Escova de Cabelo,Perfumaria,60.56
Suplemento de Cálcio,Vitaminas,48.24
Creme para as Mãos,Perfumaria,9.29
Suplemento de Vitamina D,Vitaminas,90.65
Anti-inflamatório,Remédios,96.52
Cotonetes,Perfumaria,32.66
Protetor Solar,Perfumaria,13.3
Anti-inflamatório,Remédios,49.16
Band-aid,Perfumaria,77.77
Lenços Umedecidos,Perfumaria,42.0
Band-aid,Perfumaria,20.21
Roupas de Compressão,Perfumaria,9.49
Antialérgico,Remédios,83.51
Protetor Labial,Perfumaria,77.94
Band-aid,Perfumaria,99.58
Suplemento de Ômega 3,Vitaminas,17.51
Suplemento de Vitamina D,Vitaminas,49.38
Lentes de Contato,Perfumaria,55.55
Creme Anti-idade,Perfumaria,21.61
Pomada para Assaduras,Perfumaria,95.2
Pomada para Artrose,Remédios,82.01
Antifúngico,Remédios,73.92
Colírio,Remédios,43.19
Antifúngico,Remédios,38.01
Vitamina C 1000mg,Vitaminas,92.21
Antibiótico,Remédios,42.18
Fraldas Descartáveis,Perfumaria,26.67
Pomada Antisséptica,Perfumaria,20.43
Soro Fisiológico,Remédios,75.78
Antialérgico,Remédios,56.29
Fita Adesiva,Perfumaria,11.86
Pomada Antisséptica,Perfumaria,58.27
Vitamina C 1000mg,Vitaminas,8.9
Suplemento de Ômega 3,Vitaminas,13.56
Fraldas Descartáveis,Perfumaria,6.05
Antialérgico,Remédios,68.22
Escova de Cabelo,Perfumaria,31.01
Fita Adesiva,Perfumaria,65.65
Anti-inflamatório,Remédios,51.84
Vitamina C 1000mg,Vitaminas,57.51
Vitamina C 1000mg,Vitaminas,32.08
Escova de Cabelo,Perfumaria,39.84
Gaze Esterilizada,Perfumaria,41.05
Protetor Labial,Perfumaria,41.61
Vitamina C 1000mg,Vitaminas,94.38
Protetor Solar,Perfumaria,32.01
Ibuprofeno 200mg,Remédios,16.8
Compressa Fria,Perfumaria,17.74
Pasta de Dente,Perfumaria,35.28
Colírio,Remédios,17.63
Suplemento de Magnésio,Vitaminas,54.57
Lentes de Contato,Perfumaria,54.09
Pomada para Assaduras,Perfumaria,35.47
Antiácido,Remédios,85.13
Escova de Dente,Perfumaria,15.85
Escova de Cabelo,Perfumaria,24.55
Suplemento de Vitamina D,Vitaminas,31.27
Suplemento de Cálcio,Vitaminas,90.76
Fraldas Descartáveis,Perfumaria,84.98
Suplemento de Vitamina D,Vitaminas,60.74
Protetor Solar,Perfumaria,44.2
Pomada para Assaduras,Perfumaria,98.33
Xarope para Tosse,Remédios,20.85
Roupas de Compressão,Perfumaria,37.41
Suplemento de Magnésio,Vitaminas,32.17
Termômetro Digital,Perfumaria,78.01
Soro Fisiológico,Remédios,85.67
Suplemento de Magnésio,Vitaminas,92.37
Fita Adesiva,Perfumaria,93.78
Antialérgico,Remédios,47.08
Protetor Labial,Perfumaria,70.84
Colírio,Remédios,5.55
Termômetro de Infravermelho,Perfumaria,51.25
Roupas de Compressão,Perfumaria,28.92
Compressa Fria,Perfumaria,73.74
Gaze Esterilizada,Perfumaria,74.66
Compressa Fria,Perfumaria,50.33
Band-aid,Perfumaria,58.78
Termômetro Digital,Perfumaria,6.26
Fita Adesiva,Perfumaria,14.36
Creme Hidratante,Perfumaria,57.09
Gaze Esterilizada,Perfumaria,90.8
Colágeno em Pó,Vitaminas,21.09
Cotonetes,Perfumaria,28.02
Gaze Esterilizada,Perfumaria,71.57
Compressa Fria,Perfumaria,70.7
Lenços Umedecidos,Perfumaria,62.19
Protetor Labial,Perfumaria,98.27
Suplemento de Cálcio,Vitaminas,38.95
Inalador,Remédios,35.27
Antiácido,Remédios,35.49
Pasta de Dente,Perfumaria,68.48
Creme Anti-idade,Perfumaria,84.17
Inalador,Remédios,34.0
Suplemento de Magnésio,Vitaminas,14.36
Pomada Antisséptica,Perfumaria,24.27
Protetor Labial,Perfumaria,19.23
Pomada para Assaduras,Perfumaria,85.91
Cotonetes,Perfumaria,91.17
Desodorante,Perfumaria,65.96
Vitamina C 1000mg,Vitaminas,6.93
Creme Anti-idade,Perfumaria,9.13
Compressa Fria,Perfumaria,84.07
Suplemento de Ômega 3,Vitaminas,10.34
Pomada para Assaduras,Perfumaria,99.34
Colágeno em Pó,Vitaminas,53.42
Suplemento de Magnésio,Vitaminas,24.19
Pomada para Artrose,Remédios,46.24
Antiácido,Remédios,20.29
Colírio,Remédios,88.87
Creme Anti-idade,Perfumaria,81.32
Band-aid,Perfumaria,5.25
Creme para as Mãos,Perfumaria,14.59
Termômetro Digital,Perfumaria,56.58
Colírio,Remédios,93.06
Inalador,Remédios,9.11
Suplemento de Vitamina D,Vitaminas,70.24
Protetor Solar,Perfumaria,10.75
Pasta de Dente,Perfumaria,23.59
Desodorante,Perfumaria,93.6
Vitamina C 1000mg,Vitaminas,49.95
Escova de Dente,Perfumaria,5.21
Colírio,Remédios,7.57
Antifúngico,Remédios,69.43
Roupas de Compressão,Perfumaria,17.45
Antibiótico,Remédios,11.39
Termômetro Digital,Perfumaria,10.61
Suplemento de Vitamina D,Vitaminas,30.36
Ibuprofeno 200mg,Remédios,97.94
Suplemento de Ômega 3,Vitaminas,52.26
Protetor Solar,Perfumaria,49.07
Termômetro de Infravermelho,Perfumaria,39.02
Vitamina C 1000mg,Vitaminas,18.88
Pomada Antisséptica,Perfumaria,7.77
Lentes de Contato,Perfumaria,16.15
Pomada para Artrose,Remédios,43.1
Creme para as Mãos,Perfumaria,85.45
Lenços Umedecidos,Perfumaria,49.17
Protetor Solar,Perfumaria,61.2
Colírio,Remédios,6.8
Compressa Fria,Perfumaria,45.98
Escova de Cabelo,Perfumaria,16.84
Pomada Antisséptica,Perfumaria,34.49
Protetor Labial,Perfumaria,21.8
Antifúngico,Remédios,23.64
Colágeno em Pó,Vitaminas,91.65
Fita Adesiva,Perfumaria,13.31
Suplemento de Vitamina D,Vitaminas,49.05
Gel Antisséptico,Perfumaria,46.53
Ibuprofeno 200mg,Remédios,89.25
Roupas de Compressão,Perfumaria,46.99
Pomada para Assaduras,Perfumaria,29.58
Vitamina C 1000mg,Vitaminas,88.36
Soro Fisiológico,Remédios,14.67
Compressa Fria,Perfumaria,92.35
Xarope para Tosse,Remédios,20.8
Lentes de Contato,Perfumaria,32.01
Suplemento de Ômega 3,Vitaminas,62.23
Termômetro de Infravermelho,Perfumaria,99.53
Lentes de Contato,Perfumaria,52.83
Suplemento de Magnésio,Vitaminas,19.32
Cotonetes,Perfumaria,74.62
Inalador,Remédios,43.07
Soro Fisiológico,Remédios,90.23
Band-aid,Perfumaria,35.07
Escova de Cabelo,Perfumaria,92.9
Gel Antisséptico,Perfumaria,64.33
Pomada para Artrose,Remédios,37.4
Vitamina C 1000mg,Vitaminas,80.06
Xarope para Tosse,Remédios,91.56
